Date Time,NO (Invitado1),NO2 (Invitado1),NOx (Invitado1)
07/17/26 02:35,64.163,122.875,187.038
07/17/26 02:36,64.1,123.042,187.142
07/17/26 02:37,64.1,123.133,187.267
07/17/26 02:38,64.075,123.183,187.225
07/17/26 02:39,63.975,123.267,187.222
07/17/26 02:40,63.758,123.567,187.325
07/17/26 02:41,63.547,123.65,187.217
07/17/26 02:42,63.717,123.567,187.317
07/17/26 02:43,63.722,123.578,187.3
07/17/26 02:44,63.758,123.45,187.208
07/17/26 02:45,63.858,123.28,187.123
07/17/26 02:46,63.983,123.117,187.1
07/17/26 02:47,64.105,122.945,187.042
07/17/26 02:48,64.2,122.892,187.1
07/17/26 02:49,64.277,122.782,187.058
07/17/26 02:50,64.392,122.767,187.125
07/17/26 02:51,64.458,122.82,187.278
07/17/26 02:52,64.65,122.858,187.508
07/17/26 02:53,64.745,122.743,187.547
07/17/26 02:54,64.917,122.733,187.633
07/17/26 02:55,64.975,122.725,187.678
07/17/26 02:56,64.925,122.8,187.725
07/17/26 02:57,65,122.837,187.825
07/17/26 02:58,65.067,122.975,188.05
07/17/26 02:59,65,122.948,187.968
07/17/26 03:00,65.033,122.942,187.942
07/17/26 03:01,64.947,122.908,187.855
07/17/26 03:02,65.025,122.8,187.892
07/17/26 03:03,65.125,122.723,187.9
07/17/26 03:04,65.267,122.617,187.842
07/17/26 03:05,65.225,122.553,187.8
07/17/26 03:06,65.208,122.708,187.917
07/17/26 03:07,65.278,122.962,188.24
07/17/26 03:08,65.392,122.917,188.308
07/17/26 03:09,65.458,122.925,188.378
07/17/26 03:10,65.417,122.883,188.292
07/17/26 03:11,65.305,122.903,188.203
07/17/26 03:12,65.275,123,188.242
07/17/26 03:13,65.267,123.078,188.323
07/17/26 03:14,65.267,122.95,188.217
07/17/26 03:15,65.3,123.11,188.41
07/17/26 03:16,65.3,123.067,188.375
07/17/26 03:17,65.353,123.072,188.403
07/17/26 03:18,65.3,122.958,188.292
07/17/26 03:19,65.32,122.875,188.228
07/17/26 03:20,65.242,122.833,188.075
