Date Time,Serial,Act O3,Target O3
 , ,PPB,PPB
07/15/26 21:54, ,80.,80.
07/15/26 21:56, ,80.,80.
07/15/26 21:58, ,80.,80.
07/15/26 22:00, ,80.,80.
07/15/26 22:02, ,80.,80.
07/15/26 22:04, ,80.,80.
07/15/26 22:06, ,80.,80.
07/15/26 22:08, ,80.,80.
07/15/26 22:10, ,80.,80.
07/15/26 22:12, ,80.,80.
07/15/26 22:14, ,80.,80.
07/15/26 22:16, ,80.,80.
07/15/26 22:18, ,80., 
07/15/26 22:20, ,80.,80.
07/15/26 22:22, ,80.,80.
07/15/26 22:24, ,80.,80.
07/15/26 22:26, ,80.,80.
07/15/26 22:28, ,80.,80.
07/15/26 22:30, ,80.,80.
07/15/26 22:32, ,80.,80.
07/15/26 22:34, , ,80.
07/15/26 22:36, ,80.,80.
07/15/26 22:38, ,80.,80.
07/15/26 22:40, ,80.,80.
07/15/26 22:42, ,80.,80.
07/15/26 22:44, ,80.,80.
07/15/26 22:46, ,80.,80.
07/15/26 22:48, ,79.,80.
07/15/26 22:50, ,80.,80.
07/15/26 22:52, ,80.,80.
07/15/26 22:54, ,80.,80.
07/15/26 22:56, ,80.,80.
07/15/26 22:58, ,80.,80.
07/15/26 23:00, ,79.,80.
07/15/26 23:02, ,80., 
07/15/26 23:04, ,80.,80.
07/15/26 23:06, ,80.,80.
07/15/26 23:08, ,80.,80.
07/15/26 23:10, ,80.,80.
07/15/26 23:12, ,80.,80.
07/15/26 23:14, ,80.,80.
07/15/26 23:16, ,80.,80.
07/15/26 23:18, ,80.,80.
07/15/26 23:20, ,80.,80.
07/15/26 23:22, ,80.,80.
07/15/26 23:24, ,80.,80.
07/15/26 23:26, ,80.,80.
07/15/26 23:28, ,80.,80.
07/15/26 23:30, ,81.,80.
07/15/26 23:32, , , 
07/15/26 23:34, ,79.,80.
07/15/26 23:36, ,80.,80.
07/15/26 23:38, ,80.,80.
07/15/26 23:40, ,80.,80.
07/15/26 23:42, ,80.,80.
07/15/26 23:44, ,81.,80.
07/15/26 23:46, ,80.,80.
07/15/26 23:48, ,80.,80.
07/15/26 23:50, ,80.,80.
07/15/26 23:52, ,80.,80.
07/15/26 23:54, ,80.,80.
07/15/26 23:56, ,80.,80.
07/15/26 23:58, ,80.,80.
07/15/26 24:00, ,79.,80.
07/16/26 00:02, ,38.,40.
07/16/26 00:04, ,39.,40.
07/16/26 00:06, ,39.,40.
07/16/26 00:08, ,40.,40.
07/16/26 00:10, ,39.,40.
07/16/26 00:12, ,40.,40.
07/16/26 00:14, ,40., 
07/16/26 00:16, ,41.,40.
07/16/26 00:18, ,40.,40.
07/16/26 00:20, ,40.,40.
07/16/26 00:22, ,40.,40.
07/16/26 00:24, ,40.,40.
07/16/26 00:26, ,40.,40.
07/16/26 00:28, ,40.,40.
07/16/26 00:30, ,40.,40.
07/16/26 00:32, ,40.,40.
07/16/26 00:34, ,40.,40.
07/16/26 00:36, ,40.,40.
07/16/26 00:38, ,40.,40.
07/16/26 00:40, ,40.,40.
07/16/26 00:42, ,40.,40.
07/16/26 00:44, , ,40.
07/16/26 00:46, ,40.,40.
07/16/26 00:48, ,40.,40.
07/16/26 00:50, ,40.,40.
07/16/26 00:52, ,39.,40.
07/16/26 00:54, ,40.,40.
07/16/26 00:56, ,41.,40.
07/16/26 00:58, , ,40.
07/16/26 01:00, ,40.,40.
07/16/26 01:02, ,40.,40.
07/16/26 01:04, ,40.,40.
07/16/26 01:06, ,39.,40.
07/16/26 01:08, ,40.,40.
07/16/26 01:10, ,40.,40.
07/16/26 01:12, ,40., 
07/16/26 01:14, ,40.,40.
07/16/26 01:16, ,40.,40.
07/16/26 01:18, ,40.,40.
07/16/26 01:20, ,40.,40.
07/16/26 01:22, ,40.,40.
07/16/26 01:24, ,40.,40.
07/16/26 01:26, ,40., 
07/16/26 01:28, ,40.,40.
07/16/26 01:30, ,40.,40.
07/16/26 01:32, ,40.,40.
07/16/26 01:34, ,40.,40.
07/16/26 01:36, ,41.,40.
07/16/26 01:38, ,40.,40.
07/16/26 01:40, ,40.,40.
07/16/26 01:42, ,40.,40.
07/16/26 01:44, ,40.,40.
07/16/26 01:46, ,40.,40.
07/16/26 01:48, ,40.,40.
07/16/26 01:50, ,40.,40.
07/16/26 01:52, ,39.,40.
07/16/26 01:54, ,40.,40.
07/16/26 01:56, ,40.,40.
